English Name,English District,Accepted Arabic Name,Match Score
Kfar Harra,Akkar,كفر حره,70.58823529411765
Shadra,Akkar,شدره,72.72727272727272
Btédy,Baalbeck,بتدعي,80.0
Kfar Zabed,Zahleh,كفرزبد,75.0
Btekhnay,Baabda,بتخنيه,80.0
Kfar Nabrakh,Chouf,كفرنبرخ,80.0
Wadi Bnahley,Chouf,وادي بنحليه,72.72727272727272
Batha,Kasrouane,بطحا,75.0
Nahr El-Dahab,Kasrouane,نهر الذهب,72.72727272727272
Deir Ntar,Bint Jbayl,دير انطار,75.0
Ansar,Nabatiyeh,انصار,75.0
Kfar Halda,Batroun,كفر حلده,77.77777777777777
Kfar Hatna,Batroun,كفر حتنا,82.35294117647058
Kfarsghab,Zgharta,كفر صغاب,75.0
Zhalta,Jezzine,زحلته,72.72727272727272
Tair Harf,Sour,طير حرفا,75.0
Kfar Harra,Akkar,كفر حره,70.58823529411765
Shadra,Akkar,شدره,72.72727272727272
Btédy,Baalbeck,بتدعي,80.0
Kfar Zabed,Zahleh,كفرزبد,75.0
Btekhnay,Baabda,بتخنيه,80.0
Kfar Nabrakh,Chouf,كفرنبرخ,80.0
Wadi Bnahley,Chouf,وادي بنحليه,72.72727272727272
Batha,Kasrouane,بطحا,75.0
Nahr El-Dahab,Kasrouane,نهر الذهب,72.72727272727272
Deir Ntar,Bint Jbayl,دير انطار,75.0
Ansar,Nabatiyeh,انصار,75.0
Kfar Halda,Batroun,كفر حلده,77.77777777777777
Kfar Hatna,Batroun,كفر حتنا,82.35294117647058
Kfarsghab,Zgharta,كفر صغاب,75.0
Zhalta,Jezzine,زحلته,72.72727272727272
Tair Harf,Sour,طير حرفا,75.0
Kfar Harra,Akkar,كفر حره,70.58823529411765
Shadra,Akkar,شدره,72.72727272727272
Btédy,Baalbeck,بتدعي,80.0
Kfar Zabed,Zahleh,كفرزبد,75.0
Btekhnay,Baabda,بتخنيه,80.0
Kfar Nabrakh,Chouf,كفرنبرخ,80.0
Wadi Bnahley,Chouf,وادي بنحليه,72.72727272727272
Batha,Kasrouane,بطحا,75.0
Nahr El-Dahab,Kasrouane,نهر الذهب,72.72727272727272
Deir Ntar,Bint Jbayl,دير انطار,75.0
Ansar,Nabatiyeh,انصار,75.0
Kfar Halda,Batroun,كفر حلده,77.77777777777777
Kfar Hatna,Batroun,كفر حتنا,82.35294117647058
Kfarsghab,Zgharta,كفر صغاب,75.0
Zhalta,Jezzine,زحلته,72.72727272727272
Tair Harf,Sour,طير حرفا,75.0
Barbara,Akkar,برباره,66.66666666666666
Cheikh Mohamed,Akkar,الشيخ محمد,64.0
Kfar Harra,Akkar,كفر حره,70.58823529411765
Kherbet Daoud,Akkar,خربة داوود,60.869565217391305
Mimnih,Akkar,ممنع,60.0
Minyara,Akkar,منياره,66.66666666666666
Mqaibleh,Akkar,المقيبله,66.66666666666666
Ouadi Khaled,Akkar,وادي خالد,60.0
Shadra,Akkar,شدره,72.72727272727272
Tshea,Akkar,تاشع,66.66666666666666
Btédy,Baalbeck,بتدعي,80.0
Sbouba,Baalbeck,صبوبا,60.0
Yât,Baalbeck,ايعات,66.66666666666666
Kfar Mechké,Rachiaya,كفرمشكي,63.1578947368421
Majdel Balhice,Rachiaya,مجدل بلهيص,66.66666666666666
Bab Mareh,West Bekaa,باب مارع,66.66666666666666
Aïn Kfar Zabed,Zahleh,عين كفرزبد,66.66666666666666
Jditah,Zahleh,جديتا,60.0
Kfar Zabed,Zahleh,كفرزبد,75.0
Talabaya,Zahleh,تعلبايا,61.53846153846154
Zahlé Barbara,Zahleh,زحلة البرباره,66.66666666666666
Zahlé Mar Elias,Zahleh,زحلة مار الياس,69.23076923076923
Bmehraï,Aley,بمهريه,61.53846153846154
Kfar Matta,Aley,كفرمتى,62.5
Btekhnay,Baabda,بتخنيه,80.0
Chbaniyeh,Baabda,الشبانيه,62.5
Kfar Selouane,Baabda,كفرسلوان,60.0
Laylaki,Baabda,الليلكه,61.53846153846154
El-Werhaniyeh,Chouf,الورهانية,60.0
Jmeiliyeh,Chouf,الجميليه,62.5
Kfar Nabrakh,Chouf,كفرنبرخ,80.0
Kraya,Chouf,كفرحي,60.0
Rmeileh,Chouf,الرميله,61.53846153846154
Wadi Bnahley,Chouf,وادي بنحليه,72.72727272727272
Dbayé,El Metn,الضبيه,60.0
Kfartaï,El Metn,كفرتيه,61.53846153846154
Bachtlida,Jubail,بشتليدا,62.5
Bazyoune,Jubail,بزيون,61.53846153846154
El-Berbara,Jubail,البرباره,62.5
Adma-Defneh,Kasrouane,ادما والدفنه,60.0
Batha,Kasrouane,بطحا,75.0
Eghbeh,Kasrouane,اغبه,66.66666666666666
Hayata,Kasrouane,حياطه,60.0
Jouret Termos,Kasrouane,جورة الترمس,60.869565217391305
Kfertaï,Kasrouane,كفرتيه,61.53846153846154
Nahr El-Dahab,Kasrouane,نهر الذهب,72.72727272727272
Deir Ntar,Bint Jbayl,دير انطار,75.0
Kafra,Bint Jbayl,كفره,66.66666666666666
El- Mery,Hasbaya,الماري,66.66666666666666
Ansar,Nabatiyeh,انصار,75.0
Kefer Sir,Nabatiyeh,كفرصير,66.66666666666666
Sir El-Gharbiyé,Nabatiyeh,صير الغربية,64.0
Zaoutar El-Gharbiyé,Nabatiyeh,زوطر الغربية,60.0
Artiz,Batroun,عرتز,66.66666666666666
Beit Chlale,Batroun,بيت شلالا,63.1578947368421
Dar Bella,Batroun,دير بلا,66.66666666666666
Kfar Halda,Batroun,كفر حلده,77.77777777777777
Kfar Hatna,Batroun,كفر حتنا,82.35294117647058
Kfar Hay,Batroun,كفر حتنا,66.66666666666666
Kfar Heloss,Batroun,كفر حلده,63.1578947368421
Halane,Zgharta,حيلان,60.0
Kfar Dalakoss,Zgharta,كفر دلاقوس,63.63636363636363
Kfar Yachite,Zgharta,كفر ياشيت,66.66666666666666
Kfarsghab,Zgharta,كفر صغاب,75.0
Sebhel,Zgharta,سبعل,60.0
Serhel,Zgharta,سرعل,60.0
El-Homsiyé,Jezzine,الحمصية,62.5
Srayri,Jezzine,السريره,66.66666666666666
Zhalta,Jezzine,زحلته,72.72727272727272
Boustane,Sour,البستان,61.53846153846154
Jebel-El-Batm,Sour,جبال البطم,66.66666666666666
Remadiyeh,Sour,الرماديه,66.66666666666666
Tair Harf,Sour,طير حرفا,75.0
Barbara,Akkar,برباره,66.66666666666666
Cheikh Mohamed,Akkar,الشيخ محمد,64.0
Kfar Harra,Akkar,كفر حره,70.58823529411765
Kherbet Daoud,Akkar,خربة داوود,60.869565217391305
Mimnih,Akkar,ممنع,60.0
Minyara,Akkar,منياره,66.66666666666666
Mqaibleh,Akkar,المقيبله,66.66666666666666
Ouadi Khaled,Akkar,وادي خالد,60.0
Shadra,Akkar,شدره,72.72727272727272
Tshea,Akkar,تاشع,66.66666666666666
Btédy,Baalbeck,بتدعي,80.0
Sbouba,Baalbeck,صبوبا,60.0
Yât,Baalbeck,ايعات,66.66666666666666
Kfar Mechké,Rachiaya,كفرمشكي,63.1578947368421
Majdel Balhice,Rachiaya,مجدل بلهيص,66.66666666666666
Bab Mareh,West Bekaa,باب مارع,66.66666666666666
Aïn Kfar Zabed,Zahleh,عين كفرزبد,66.66666666666666
Jditah,Zahleh,جديتا,60.0
Kfar Zabed,Zahleh,كفرزبد,75.0
Talabaya,Zahleh,تعلبايا,61.53846153846154
Zahlé Barbara,Zahleh,زحلة البرباره,66.66666666666666
Zahlé Mar Elias,Zahleh,زحلة مار الياس,69.23076923076923
Bmehraï,Aley,بمهريه,61.53846153846154
Kfar Matta,Aley,كفرمتى,62.5
Btekhnay,Baabda,بتخنيه,80.0
Chbaniyeh,Baabda,الشبانيه,62.5
Kfar Selouane,Baabda,كفرسلوان,60.0
Laylaki,Baabda,الليلكه,61.53846153846154
El-Werhaniyeh,Chouf,الورهانية,60.0
Jmeiliyeh,Chouf,الجميليه,62.5
Kfar Nabrakh,Chouf,كفرنبرخ,80.0
Kraya,Chouf,كفرحي,60.0
Rmeileh,Chouf,الرميله,61.53846153846154
Wadi Bnahley,Chouf,وادي بنحليه,72.72727272727272
Dbayé,El Metn,الضبيه,60.0
Kfartaï,El Metn,كفرتيه,61.53846153846154
Bachtlida,Jubail,بشتليدا,62.5
Bazyoune,Jubail,بزيون,61.53846153846154
El-Berbara,Jubail,البرباره,62.5
Adma-Defneh,Kasrouane,ادما والدفنه,60.0
Batha,Kasrouane,بطحا,75.0
Eghbeh,Kasrouane,اغبه,66.66666666666666
Hayata,Kasrouane,حياطه,60.0
Jouret Termos,Kasrouane,جورة الترمس,60.869565217391305
Kfertaï,Kasrouane,كفرتيه,61.53846153846154
Nahr El-Dahab,Kasrouane,نهر الذهب,72.72727272727272
Deir Ntar,Bint Jbayl,دير انطار,75.0
Kafra,Bint Jbayl,كفره,66.66666666666666
El- Mery,Hasbaya,الماري,66.66666666666666
Ansar,Nabatiyeh,انصار,75.0
Kefer Sir,Nabatiyeh,كفرصير,66.66666666666666
Sir El-Gharbiyé,Nabatiyeh,صير الغربية,64.0
Zaoutar El-Gharbiyé,Nabatiyeh,زوطر الغربية,60.0
Artiz,Batroun,عرتز,66.66666666666666
Beit Chlale,Batroun,بيت شلالا,63.1578947368421
Dar Bella,Batroun,دير بلا,66.66666666666666
Kfar Halda,Batroun,كفر حلده,77.77777777777777
Kfar Hatna,Batroun,كفر حتنا,82.35294117647058
Kfar Hay,Batroun,كفر حتنا,66.66666666666666
Kfar Heloss,Batroun,كفر حلده,63.1578947368421
Halane,Zgharta,حيلان,60.0
Kfar Dalakoss,Zgharta,كفر دلاقوس,63.63636363636363
Kfar Yachite,Zgharta,كفر ياشيت,66.66666666666666
Kfarsghab,Zgharta,كفر صغاب,75.0
Sebhel,Zgharta,سبعل,60.0
Serhel,Zgharta,سرعل,60.0
El-Homsiyé,Jezzine,الحمصية,62.5
Srayri,Jezzine,السريره,66.66666666666666
Zhalta,Jezzine,زحلته,72.72727272727272
Boustane,Sour,البستان,61.53846153846154
Jebel-El-Batm,Sour,جبال البطم,66.66666666666666
Remadiyeh,Sour,الرماديه,66.66666666666666
Tair Harf,Sour,طير حرفا,75.0
Barbara,Akkar,برباره,66.66666666666666
Cheikh Mohamed,Akkar,الشيخ محمد,64.0
Kfar Harra,Akkar,كفر حره,70.58823529411765
Kherbet Daoud,Akkar,خربة داوود,60.869565217391305
Mimnih,Akkar,ممنع,60.0
Minyara,Akkar,منياره,66.66666666666666
Mqaibleh,Akkar,المقيبله,66.66666666666666
Ouadi Khaled,Akkar,وادي خالد,60.0
Shadra,Akkar,شدره,72.72727272727272
Tshea,Akkar,تاشع,66.66666666666666
Btédy,Baalbeck,بتدعي,80.0
Sbouba,Baalbeck,صبوبا,60.0
Yât,Baalbeck,ايعات,66.66666666666666
Kfar Mechké,Rachiaya,كفرمشكي,63.1578947368421
Majdel Balhice,Rachiaya,مجدل بلهيص,66.66666666666666
Bab Mareh,West Bekaa,باب مارع,66.66666666666666
Aïn Kfar Zabed,Zahleh,عين كفرزبد,66.66666666666666
Jditah,Zahleh,جديتا,60.0
Kfar Zabed,Zahleh,كفرزبد,75.0
Talabaya,Zahleh,تعلبايا,61.53846153846154
Zahlé Barbara,Zahleh,زحلة البرباره,66.66666666666666
Zahlé Mar Elias,Zahleh,زحلة مار الياس,69.23076923076923
Bmehraï,Aley,بمهريه,61.53846153846154
Kfar Matta,Aley,كفرمتى,62.5
Btekhnay,Baabda,بتخنيه,80.0
Chbaniyeh,Baabda,الشبانيه,62.5
Kfar Selouane,Baabda,كفرسلوان,60.0
Laylaki,Baabda,الليلكه,61.53846153846154
El-Werhaniyeh,Chouf,الورهانية,60.0
Jmeiliyeh,Chouf,الجميليه,62.5
Kfar Nabrakh,Chouf,كفرنبرخ,80.0
Kraya,Chouf,كفرحي,60.0
Rmeileh,Chouf,الرميله,61.53846153846154
Wadi Bnahley,Chouf,وادي بنحليه,72.72727272727272
Dbayé,El Metn,الضبيه,60.0
Kfartaï,El Metn,كفرتيه,61.53846153846154
Bachtlida,Jubail,بشتليدا,62.5
Bazyoune,Jubail,بزيون,61.53846153846154
El-Berbara,Jubail,البرباره,62.5
Adma-Defneh,Kasrouane,ادما والدفنه,60.0
Batha,Kasrouane,بطحا,75.0
Eghbeh,Kasrouane,اغبه,66.66666666666666
Hayata,Kasrouane,حياطه,60.0
Jouret Termos,Kasrouane,جورة الترمس,60.869565217391305
Kfertaï,Kasrouane,كفرتيه,61.53846153846154
Nahr El-Dahab,Kasrouane,نهر الذهب,72.72727272727272
Deir Ntar,Bint Jbayl,دير انطار,75.0
Kafra,Bint Jbayl,كفره,66.66666666666666
El- Mery,Hasbaya,الماري,66.66666666666666
Ansar,Nabatiyeh,انصار,75.0
Kefer Sir,Nabatiyeh,كفرصير,66.66666666666666
Sir El-Gharbiyé,Nabatiyeh,صير الغربية,64.0
Zaoutar El-Gharbiyé,Nabatiyeh,زوطر الغربية,60.0
Artiz,Batroun,عرتز,66.66666666666666
Beit Chlale,Batroun,بيت شلالا,63.1578947368421
Dar Bella,Batroun,دير بلا,66.66666666666666
Kfar Halda,Batroun,كفر حلده,77.77777777777777
Kfar Hatna,Batroun,كفر حتنا,82.35294117647058
Kfar Hay,Batroun,كفر حتنا,66.66666666666666
Kfar Heloss,Batroun,كفر حلده,63.1578947368421
Halane,Zgharta,حيلان,60.0
Kfar Dalakoss,Zgharta,كفر دلاقوس,63.63636363636363
Kfar Yachite,Zgharta,كفر ياشيت,66.66666666666666
Kfarsghab,Zgharta,كفر صغاب,75.0
Sebhel,Zgharta,سبعل,60.0
Serhel,Zgharta,سرعل,60.0
El-Homsiyé,Jezzine,الحمصية,62.5
Srayri,Jezzine,السريره,66.66666666666666
Zhalta,Jezzine,زحلته,72.72727272727272
Boustane,Sour,البستان,61.53846153846154
Jebel-El-Batm,Sour,جبال البطم,66.66666666666666
Remadiyeh,Sour,الرماديه,66.66666666666666
Tair Harf,Sour,طير حرفا,75.0
Barbara,Akkar,برباره,66.66666666666666
Cheikh Mohamed,Akkar,الشيخ محمد,64.0
Kfar Harra,Akkar,كفر حره,70.58823529411765
Kherbet Daoud,Akkar,خربة داوود,60.869565217391305
Mimnih,Akkar,ممنع,60.0
Minyara,Akkar,منياره,66.66666666666666
Mqaibleh,Akkar,المقيبله,66.66666666666666
Ouadi Khaled,Akkar,وادي خالد,60.0
Shadra,Akkar,شدره,72.72727272727272
Tshea,Akkar,تاشع,66.66666666666666
Btédy,Baalbeck,بتدعي,80.0
Sbouba,Baalbeck,صبوبا,60.0
Yât,Baalbeck,ايعات,66.66666666666666
Kfar Mechké,Rachiaya,كفرمشكي,63.1578947368421
Majdel Balhice,Rachiaya,مجدل بلهيص,66.66666666666666
Bab Mareh,West Bekaa,باب مارع,66.66666666666666
Aïn Kfar Zabed,Zahleh,عين كفرزبد,66.66666666666666
Jditah,Zahleh,جديتا,60.0
Kfar Zabed,Zahleh,كفرزبد,75.0
Talabaya,Zahleh,تعلبايا,61.53846153846154
Zahlé Barbara,Zahleh,زحلة البرباره,66.66666666666666
Zahlé Mar Elias,Zahleh,زحلة مار الياس,69.23076923076923
Bmehraï,Aley,بمهريه,61.53846153846154
Kfar Matta,Aley,كفرمتى,62.5
Btekhnay,Baabda,بتخنيه,80.0
Chbaniyeh,Baabda,الشبانيه,62.5
Kfar Selouane,Baabda,كفرسلوان,60.0
Laylaki,Baabda,الليلكه,61.53846153846154
El-Werhaniyeh,Chouf,الورهانية,60.0
Jmeiliyeh,Chouf,الجميليه,62.5
Kfar Nabrakh,Chouf,كفرنبرخ,80.0
Kraya,Chouf,كفرحي,60.0
Rmeileh,Chouf,الرميله,61.53846153846154
Wadi Bnahley,Chouf,وادي بنحليه,72.72727272727272
Dbayé,El Metn,الضبيه,60.0
Kfartaï,El Metn,كفرتيه,61.53846153846154
Bachtlida,Jubail,بشتليدا,62.5
Bazyoune,Jubail,بزيون,61.53846153846154
El-Berbara,Jubail,البرباره,62.5
Adma-Defneh,Kasrouane,ادما والدفنه,60.0
Batha,Kasrouane,بطحا,75.0
Eghbeh,Kasrouane,اغبه,66.66666666666666
Hayata,Kasrouane,حياطه,60.0
Jouret Termos,Kasrouane,جورة الترمس,60.869565217391305
Kfertaï,Kasrouane,كفرتيه,61.53846153846154
Nahr El-Dahab,Kasrouane,نهر الذهب,72.72727272727272
Deir Ntar,Bint Jbayl,دير انطار,75.0
Kafra,Bint Jbayl,كفره,66.66666666666666
El- Mery,Hasbaya,الماري,66.66666666666666
Ansar,Nabatiyeh,انصار,75.0
Kefer Sir,Nabatiyeh,كفرصير,66.66666666666666
Sir El-Gharbiyé,Nabatiyeh,صير الغربية,64.0
Zaoutar El-Gharbiyé,Nabatiyeh,زوطر الغربية,60.0
Artiz,Batroun,عرتز,66.66666666666666
Beit Chlale,Batroun,بيت شلالا,63.1578947368421
Dar Bella,Batroun,دير بلا,66.66666666666666
Kfar Halda,Batroun,كفر حلده,77.77777777777777
Kfar Hatna,Batroun,كفر حتنا,82.35294117647058
Kfar Hay,Batroun,كفر حتنا,66.66666666666666
Kfar Heloss,Batroun,كفر حلده,63.1578947368421
Halane,Zgharta,حيلان,60.0
Kfar Dalakoss,Zgharta,كفر دلاقوس,63.63636363636363
Kfar Yachite,Zgharta,كفر ياشيت,66.66666666666666
Kfarsghab,Zgharta,كفر صغاب,75.0
Sebhel,Zgharta,سبعل,60.0
Serhel,Zgharta,سرعل,60.0
El-Homsiyé,Jezzine,الحمصية,62.5
Srayri,Jezzine,السريره,66.66666666666666
Zhalta,Jezzine,زحلته,72.72727272727272
Boustane,Sour,البستان,61.53846153846154
Jebel-El-Batm,Sour,جبال البطم,66.66666666666666
Remadiyeh,Sour,الرماديه,66.66666666666666
Tair Harf,Sour,طير حرفا,75.0
Barbara,Akkar,برباره,66.66666666666666
Cheikh Mohamed,Akkar,الشيخ محمد,64.0
Kfar Harra,Akkar,كفر حره,70.58823529411765
Kherbet Daoud,Akkar,خربة داوود,60.869565217391305
Mimnih,Akkar,ممنع,60.0
Minyara,Akkar,منياره,66.66666666666666
Mqaibleh,Akkar,المقيبله,66.66666666666666
Ouadi Khaled,Akkar,وادي خالد,60.0
Shadra,Akkar,شدره,72.72727272727272
Tshea,Akkar,تاشع,66.66666666666666
Btédy,Baalbeck,بتدعي,80.0
Sbouba,Baalbeck,صبوبا,60.0
Yât,Baalbeck,ايعات,66.66666666666666
Kfar Mechké,Rachiaya,كفرمشكي,63.1578947368421
Majdel Balhice,Rachiaya,مجدل بلهيص,66.66666666666666
Bab Mareh,West Bekaa,باب مارع,66.66666666666666
Aïn Kfar Zabed,Zahleh,عين كفرزبد,66.66666666666666
Al-Nasriyé,Zahleh,ناصريه,66.66666666666666
Jditah,Zahleh,جديتا,60.0
Kfar Zabed,Zahleh,كفرزبد,75.0
Talabaya,Zahleh,تعلبايا,61.53846153846154
Zahlé Barbara,Zahleh,زحلة البرباره,66.66666666666666
Zahlé Mar Elias,Zahleh,زحلة مار الياس,69.23076923076923
Bmehraï,Aley,بمهريه,61.53846153846154
Kfar Matta,Aley,كفرمتى,62.5
Btekhnay,Baabda,بتخنيه,80.0
Chbaniyeh,Baabda,الشبانيه,62.5
Kfar Selouane,Baabda,كفرسلوان,60.0
Laylaki,Baabda,الليلكه,61.53846153846154
El-Werhaniyeh,Chouf,الورهانية,60.0
Jmeiliyeh,Chouf,الجميليه,62.5
Kfar Nabrakh,Chouf,كفرنبرخ,80.0
Kraya,Chouf,كفرحي,60.0
Rmeileh,Chouf,الرميله,61.53846153846154
Wadi Bnahley,Chouf,وادي بنحليه,72.72727272727272
Dbayé,El Metn,الضبيه,60.0
Kfartaï,El Metn,كفرتيه,61.53846153846154
Bachtlida,Jubail,بشتليدا,62.5
Bazyoune,Jubail,بزيون,61.53846153846154
El-Berbara,Jubail,البرباره,62.5
Adma-Defneh,Kasrouane,ادما والدفنه,60.0
Batha,Kasrouane,بطحا,75.0
Eghbeh,Kasrouane,اغبه,66.66666666666666
Hayata,Kasrouane,حياطه,60.0
Jouret Termos,Kasrouane,جورة الترمس,60.869565217391305
Kfertaï,Kasrouane,كفرتيه,61.53846153846154
Nahr El-Dahab,Kasrouane,نهر الذهب,72.72727272727272
Deir Ntar,Bint Jbayl,دير انطار,75.0
Kafra,Bint Jbayl,كفره,66.66666666666666
El- Mery,Hasbaya,الماري,75.0
Ansar,Nabatiyeh,انصار,75.0
Kefer Sir,Nabatiyeh,كفرصير,66.66666666666666
Sir El-Gharbiyé,Nabatiyeh,صير الغربية,64.0
Zaoutar El-Gharbiyé,Nabatiyeh,زوطر الغربية,60.0
Artiz,Batroun,عرتز,66.66666666666666
Beit Chlale,Batroun,بيت شلالا,63.1578947368421
Dar Bella,Batroun,دير بلا,66.66666666666666
Kfar Halda,Batroun,كفر حلده,77.77777777777777
Kfar Hatna,Batroun,كفر حتنا,82.35294117647058
Kfar Hay,Batroun,كفر حتنا,66.66666666666666
Kfar Heloss,Batroun,كفر حلده,63.1578947368421
Halane,Zgharta,حيلان,60.0
Kfar Dalakoss,Zgharta,كفر دلاقوس,63.63636363636363
Kfar Yachite,Zgharta,كفر ياشيت,66.66666666666666
Kfarsghab,Zgharta,كفر صغاب,75.0
Sebhel,Zgharta,سبعل,60.0
Serhel,Zgharta,سرعل,60.0
El-Homsiyé,Jezzine,الحمصية,62.5
Srayri,Jezzine,السريره,66.66666666666666
Zhalta,Jezzine,زحلته,72.72727272727272
Boustane,Sour,البستان,61.53846153846154
Jebel-El-Batm,Sour,جبال البطم,66.66666666666666
Remadiyeh,Sour,الرماديه,66.66666666666666
Tair Harf,Sour,طير حرفا,75.0
